,pure_NSM,pure_DSM,ClimbHill,Rodriguez,Huang,SCVP,HILLCLIMB,O2P,OPTIMAL,TROJAN,NAVATHE
customer,7.3909759521484375e-06,7.3909759521484375e-06,0.03230857849121094,0.022490978240966797,0.05325174331665039,1.898494005203247,0.0138802474,0.0030501853999999997,0.245608914,0.0305706496,0.020978248400000003
lineitem,1.6689300537109375e-05,1.6689300537109375e-05,0.3308389186859131,0.06897640228271484,0.1405484676361084,0.3023874759674072,0.13043891479999997,0.0050394446,0.0,165.730601237,3.2837535758
nation,5.245208740234375e-06,5.245208740234375e-06,0.01914191246032715,0.01698613166809082,0.03412604331970215,0.050032615661621094,0.00021153400000000004,0.0002152554,0.0002525926,5.8084e-05,0.0003198134
orders,2.0742416381835938e-05,2.0742416381835938e-05,0.035976409912109375,0.030037641525268555,0.05282855033874512,0.09824800491333008,0.0020151780000000003,0.0016614358,0.154936279,0.027810601,0.0099942378
part,5.4836273193359375e-06,5.4836273193359375e-06,0.04657483100891113,0.024883508682250977,0.041457176208496094,0.5487403869628906,0.0014264210000000002,0.0011946642,0.024958371799999997,0.002771752,0.007777791399999998
partsupp,1.7404556274414062e-05,1.7404556274414062e-05,0.018129348754882812,0.015212535858154297,0.03166985511779785,0.051155805587768555,0.000282959,0.00036041480000000004,0.00046022619999999995,0.00014457239999999998,0.0006817153999999999
region,7.152557373046875e-06,7.152557373046875e-06,0.007596731185913086,0.00783991813659668,0.01578998565673828,0.02369999885559082,0.00011300239999999999,9.045619999999998e-05,0.00015630720000000002,4.16214e-05,0.000128604
supplier,6.9141387939453125e-06,6.9141387939453125e-06,0.03971242904663086,0.02710127830505371,0.05671525001525879,0.09845948219299316,0.0012379940000000003,0.0008390752,0.0268974784,0.0028189053999999997,0.0024883674
