,pure_NSM,pure_DSM,ClimbHill,Rodriguez,Huang,SCVP
200query,1.2159347534179688e-05,1.2159347534179688e-05,23.111892461776733,0.0524449348449707,0.07051753997802734,3.3699
500query,3.170967102050781e-05,3.170967102050781e-05,36.432825803756714,0.05111408233642578,0.07974481582641602,0.5297
1000query,1.7642974853515625e-05,1.7642974853515625e-05,60.55834722518921,0.0787820816040039,0.14530277252197266,0.7631
2000query,1.6927719116210938e-05,1.6927719116210938e-05,149.82521748542786,0.15031933784484863,0.27128171920776367,1.7841
5000query,1.9073486328125e-05,1.9073486328125e-05,273.0849416255951,0.3114800453186035,0.6426217555999756,4.4008
