,pure_NSM,pure_DSM,ClimbHill,Rodriguez,Huang,SCVP
30attr,0.0001270771026611328,0.0001270771026611328,5.443366527557373,0.08130693435668945,0.14509010314941406,2.1772
50attr,1.2874603271484375e-05,1.2874603271484375e-05,57.94796419143677,0.0700230598449707,0.11516904830932617,1.4605
100attr,2.7894973754882812e-05,2.7894973754882812e-05,1671.1079714298248,0.19602036476135254,0.26506924629211426,4.5489
200attr,9.5367431640625e-05,9.5367431640625e-05,0,0.45417189598083496,0.843367338180542,258.7786555290222
