,pure_NSM,pure_DSM,ClimbHill,Rodriguez,Huang,SCVP,HILLCLIMB,O2P,OPTIMAL,TROJAN,NAVATHE
customer,7.0,4.571428571428571,1.4,1.4,4.190476190476191,1.4,1.4,4.857142857142858,4.190476190476191,4.964285714285714,4.785714285714286
date,13.0,3.7782805429864252,1.0,1.0,3.0615384615384618,1.0,1.0,4.6410256410256405,3.0615384615384618,3.0615384615384618,4.6410256410256405
lineorder,13.0,10.334841628959277,1.4444444444444444,2.0615384615384618,5.794871794871795,1.4444444444444444,1.4444444444444444,1.4444444444444444,6.012820512820513,9.217948717948717,1.4444444444444444
part,6.0,4.666666666666667,1.0,1.0,3.333333333333333,1.0,1.0,5.5,3.333333333333333,4.416666666666667,5.5
supplier,10.0,6.228571428571428,2.5,2.5,6.0,2.5,2.5,6.8,6.55,6.55,6.800000000000001
