,pure_NSM,pure_DSM,ClimbHill,Rodriguez,Huang,SCVP,HILLCLIMB,O2P,OPTIMAL,TROJAN,NAVATHE
customer,16800,4780.0,4780.0,6300.0,4780.0,4780.0,4780.0,5380.0,4780.0,4780.0,5380.0
date,24440,5740.0,3900.0,7020.0,3900.0,3900.0,3900.0,5760.0,3900.0,3900.0,5760.0
lineorder,22360,12880.0,8160.0,8480.0,8480.0,8320.0,8160.0,8480.0,8160.0,9440.0,8160.0
part,12240,3780.0,3440.0,3600.0,3440.0,3440.0,3440.0,4380.0,3440.0,3500.0,4380.0
supplier,22000,7240.0,7240.0,9000.0,7240.0,7240.0,7240.0,8440.0,7640.0,7240.0,8440.0
