,pure_NSM,pure_DSM,ClimbHill,Rodriguez,Huang,SCVP,HILLCLIMB,O2P,OPTIMAL,TROJAN,NAVATHE
customer,35680,8453.0,7610.0,35680.0,8410.0,7610.0,7610.0,9453.0,7610.0,7610.0,9213.0
lineitem,67660,19581.0,18059.0,38456.0,19209.0,18059.0,20054.0,20830.0,0.0,18561.0,20510.0
nation,34020,7085.0,6660.0,6660.0,6660.0,6660.0,6660.0,6660.0,6660.0,6660.0,6660.0
orders,33600,7199.0,6758.0,30000.0,7199.0,6758.0,6758.0,7499.0,6758.0,7199.0,7499.0
part,26240,7483.0,7331.0,18003.0,7483.0,7331.0,7331.0,7485.0,7331.0,7483.0,7485.0
partsupp,21900,2884.0,1922.0,2242.0,1922.0,1922.0,1922.0,14260.0,1922.0,2000.0,14260.0
region,11100,2076.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0
supplier,39400,14401.0,13121.0,19381.0,13441.0,13121.0,13121.0,14321.0,13101.0,13881.0,14321.0
