,pure_NSM,pure_DSM,Climb Hill's,Lisbeth Rodriguez's,Huang Yin-fu's,SCVP's
customer,1.0728836059570312e-05,1.0728836059570312e-05,0.054178476333618164,0.040520429611206055,0.08658003807067871,0.22771000862121582
lineitem,1.0013580322265625e-05,1.0013580322265625e-05,0.32880401611328125,0.07655453681945801,0.2231464385986328,0.5955977439880371
nation,6.198883056640625e-06,6.198883056640625e-06,0.02637648582458496,0.023699522018432617,0.036817073822021484,0.08756804466247559
orders,6.198883056640625e-06,6.198883056640625e-06,0.06149888038635254,0.0381472110748291,0.08069849014282227,0.1363058090209961
part,8.106231689453125e-06,8.106231689453125e-06,0.04123044013977051,0.030278682708740234,0.06160092353820801,0.12706685066223145
partsupp,6.67572021484375e-06,6.67572021484375e-06,0.020734310150146484,0.01516270637512207,0.030164003372192383,0.07451677322387695
region,5.9604644775390625e-06,5.9604644775390625e-06,0.009434223175048828,0.009327173233032227,0.020105361938476562,0.03509402275085449
supplier,5.7220458984375e-06,5.7220458984375e-06,0.0478670597076416,0.04028797149658203,0.08626055717468262,0.15482401847839355
