,pure_NSM,pure_DSM,ClimbHill,Rodriguez,Huang,SCVP,HILLCLIMB,O2P,OPTIMAL,TROJAN,NAVATHE
customer,8.58306884765625e-06,8.58306884765625e-06,0.01853013038635254,0.012609481811523438,0.026584148406982422,0.0617976188659668,0.0019744890000000003,0.0015440965999999998,0.0007173361999999999,0.0001252454,0.008587150400000002
date,6.67572021484375e-06,6.67572021484375e-06,0.1778242588043213,0.023470163345336914,0.04728341102600098,0.0771632194519043,0.0804873178,0.013189708400000003,0.0019205491999999998,0.0003386868,8.5457090402
lineorder,6.9141387939453125e-06,6.9141387939453125e-06,0.27193331718444824,0.05565381050109863,0.10717153549194336,0.19071173667907715,0.11420999839999998,0.010372983000000002,1.2684389004,0.1470569696,8.8782128122
part,2.1457672119140625e-05,2.1457672119140625e-05,0.019263505935668945,0.012577533721923828,0.025670289993286133,0.04424452781677246,0.0028494341999999997,0.0019661360000000003,0.000572968,0.0001316076,0.014438753799999999
supplier,4.5299530029296875e-06,4.5299530029296875e-06,0.02226734161376953,0.018737077713012695,0.038316965103149414,0.058191776275634766,0.0020494682,0.0011890338,0.0008773896,0.000149728,0.004166743400000001
