,pure_NSM,pure_DSM,ClimbHill,Rodriguez,Huang,SCVP,HILLCLIMB,O2P,OPTIMAL,TROJAN,NAVATHE
customer,7.62939453125e-06,7.62939453125e-06,0.028233051300048828,0.02122950553894043,0.046526193618774414,1.8450541496276855,0.022298066600000003,0.004474168400000001,0.33292047720000006,0.0162230816,0.025903163
lineitem,1.7881393432617188e-05,1.7881393432617188e-05,0.32676029205322266,0.06940913200378418,0.1448979377746582,0.4623417854309082,0.3337395354,0.018989756000000003,0.0,115.857557216,5.738334202800001
nation,5.9604644775390625e-06,5.9604644775390625e-06,0.020635128021240234,0.020205020904541016,0.04289507865905762,0.6078081130981445,0.00023538999999999998,0.000218426,0.00020965680000000002,5.61078e-05,0.0003722474
orders,5.7220458984375e-06,5.7220458984375e-06,0.03997015953063965,0.02654123306274414,0.05442667007446289,0.09223508834838867,0.008638599,0.0032712398,0.2825256766,0.0191677362,0.020294597199999997
part,2.2649765014648438e-05,2.2649765014648438e-05,0.029293537139892578,0.02022409439086914,0.04287457466125488,0.08420276641845703,0.0045643258,0.0018006056000000002,0.030086620200000004,0.0025627068,0.011104098000000001
partsupp,4.76837158203125e-06,4.76837158203125e-06,0.01412057876586914,0.013684749603271484,0.027448415756225586,0.04792428016662598,0.00040193399999999995,0.0003466622,0.0004843584,0.00014542920000000002,0.0005559880000000001
region,4.5299530029296875e-06,4.5299530029296875e-06,0.006690025329589844,0.006573677062988281,0.013877630233764648,0.022380590438842773,3.48912e-05,8.057980000000002e-05,0.000134409,3.39306e-05,9.22076e-05
supplier,2.0742416381835938e-05,2.0742416381835938e-05,0.031108379364013672,0.02718973159790039,0.05890679359436035,0.09357357025146484,0.0021590468000000002,0.001095248,0.0324268224,0.0027145588,0.0025768106
