,pure_NSM,pure_DSM,Climb Hill's,Lisbeth Rodriguez's,Huang Yin-fu's,SCVP's
30attr,4880000,368435.0,4880000,399712.0,368435.0,360870.0
50attr,8080000,410775.0,8080000,561507.0,410775.0,406752.0
100attr,16080000,547070.0,16080000,695641.0,547070.0,484410.0
200attr,32080000,707185.0,32080000,967839.0,627842.0,549621.0
200query,1616000,145920.0,1616000,136880.0,115040.0,114960.0
500query,4040000,301760.0,4040000,296880.0,250000.0,245200.0
1000query,8080000,534800.0,8080000,604800.0,513600.0,481520.0
2000query,16160000,1438240.0,16160000,1580480.0,1186080.0,1131680.0
5000query,40400000,3068960.0,40400000,3353520.0,2948720.0,2535280.0
