,pure_NSM,pure_DSM,Climb Hill's,Lisbeth Rodriguez's,Huang Yin-fu's,SCVP's,NAVATHE,AUTOPART,TROJAN,DREAM,HILLCLIMB,O2P
customer,8.0,5.5,2.75,8.0,3.1666666666666665,2.35,5.75,3.9,3.9,22.0,3.9,6.107142857142858
lineitem,17.0,11.143382352941178,3.186274509803922,3.635294117647059,8.470588235294118,3.186274509803922,,,,,,
nation,9.0,7.916666666666666,4.5,4.666666666666667,4.5,4.5,4.5,4.666666666666667,4.5,25.0,4.666666666666667,4.5
orders,12.0,6.444444444444445,2.6666666666666665,6.0,3.0,2.6666666666666665,6.833333333333334,4.791666666666666,6.444444444444445,32.0,4.791666666666666,6.833333333333334
part,8.0,6.194444444444445,2.25,2.25,4.5,2.25,6.5,5.321428571428571,6.5,22.0,5.0,6.5
partsupp,5.0,7.0,2.5,4.5,2.5,2.5,5.2,3.1333333333333337,2.5,13.0,3.1333333333333337,5.2
region,3.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,7.0,1.5,1.5
supplier,10.0,8.142857142857142,4.5,4.5,6.1,3.5333333333333337,8.633333333333333,6.4,6.533333333333333,28.0,6.4,8.633333333333333
