,pure_NSM,pure_DSM,Climb Hill's,Lisbeth Rodriguez's,Huang Yin-fu's,SCVP's
30attr,1.8358230590820312e-05,1.8358230590820312e-05,1.0251998901367188e-05,0.0979466438293457,0.18039822578430176,0.5598478317260742
50attr,2.2411346435546875e-05,2.2411346435546875e-05,1.1444091796875e-05,0.0983130931854248,0.16137170791625977,1.3764855861663818
100attr,2.0503997802734375e-05,2.0503997802734375e-05,8.821487426757812e-06,0.15503287315368652,0.2262427806854248,6.7225306034088135
200attr,9.250640869140625e-05,9.250640869140625e-05,1.7642974853515625e-05,0.44663476943969727,0.966418981552124,32.64831209182739
200query,5.1021575927734375e-05,5.1021575927734375e-05,1.4066696166992188e-05,0.0628662109375,0.08088111877441406,1.0318994522094727
500query,2.0265579223632812e-05,2.0265579223632812e-05,9.775161743164062e-06,0.07119512557983398,0.09134173393249512,1.4007816314697266
1000query,2.2172927856445312e-05,2.2172927856445312e-05,1.0967254638671875e-05,0.1024484634399414,0.14438176155090332,1.3698678016662598
2000query,2.0742416381835938e-05,2.0742416381835938e-05,1.4066696166992188e-05,0.21762871742248535,0.32303380966186523,3.4213736057281494
5000query,1.2874603271484375e-05,1.2874603271484375e-05,8.58306884765625e-06,0.3389551639556885,0.6635653972625732,4.120517253875732
