,pure_NSM,pure_DSM,ClimbHill,Rodriguez,Huang,SCVP,HILLCLIMB,O2P,OPTIMAL,TROJAN,NAVATHE
customer,9.5367431640625e-06,9.5367431640625e-06,0.016736268997192383,0.01324319839477539,0.03175783157348633,0.03917121887207031,0.0009754922000000003,0.0019036150000000002,0.0013155168,0.00017823640000000002,0.010862147999999997
date,5.9604644775390625e-06,5.9604644775390625e-06,0.06733345985412598,0.023678064346313477,0.04403853416442871,0.06779837608337402,0.012045439800000002,0.00617616,0.0018864292,0.00032744079999999997,4.1884606374
lineorder,8.106231689453125e-06,8.106231689453125e-06,0.2527768611907959,0.06413149833679199,0.125199556350708,0.17464590072631836,0.022533276799999998,0.0040496426,1.1249724306,0.19784672399999997,3.8616278026
part,6.67572021484375e-06,6.67572021484375e-06,0.020349740982055664,0.013805627822875977,0.02772378921508789,0.04774928092956543,0.0019471077999999996,0.002472716,0.0010092480000000001,0.0001650204,0.019891672400000004
supplier,6.67572021484375e-06,6.67572021484375e-06,0.023437976837158203,0.020058870315551758,0.0402979850769043,0.052945852279663086,0.0008220318,0.0014277198,0.0012295174,0.00017206500000000003,0.0048324984
